"name","lon","lat"
"KKH The Retail Mall",103.8467669,1.310638
"VivoCity",103.8222071,1.2644032
"HarbourFront Centre",103.8203582,1.2642175
"Alexandra Retail Centre",103.8016048,1.2737935
"321 Clementi",103.765014,1.311998
"The Clementi Mall",103.7642968,1.3149292
"IMM",103.7468395,1.3348154
"JCube",103.7401992,1.33331
"Jem",103.7432656,1.3328303
"Westgate",103.7426077,1.3345013
"Jurong Point",103.7067297,1.3397443
"Pioneer Mall",103.6974182,1.3421413
"The Star Vista",103.7883997,1.3068072
"Alexandra Central",103.8050545,1.2873346
"Anchorpoint",103.8050762,1.2887706
"Big Box",103.7447649,1.3318103
"OD Mall",103.7934418,1.3380084
"Boon Lay Shopping Centre",103.7125352,1.3463986
"Grantral Mall",103.7651327,1.3142926
"Fairprice Hub",103.8470997,1.3329076
"Gek Poh Shopping Centre",103.6976313,1.3488852
"Rochester Mall",103.788206,1.3056024
"Taman Jurong Shopping Centre",103.7203739,1.3342811
"West Coast Plaza",103.766452,1.303632
"Queensway Shopping Centre",103.8036027,1.2877846
